Source Server,Batch GUID,ROOTGUID,OrderId,Batch Name,Product Name,Batch Act Start,Batch Act End,Batch Transfer Time,Quantity,Material Name,Material Code,sp_prot,SetPoint Float,Actual Value Float,FormulaCategoryName,POBJID,EventID
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Maize,100,100.0,2679.705,2689.525,Production Recipes,4,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Methionine,12,100.0,10.62,9.982639,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Monocalcium Phos,204,100.0,38.745,39.20718,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,NOVELA ECL,6,100.0,0.45,0.5309607,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Provi Oxi Stop,21,100.0,0.45,1.03588,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Rovabio P10,176,100.0,2.25,2.401621,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Sacox (500g),91,100.0,2.25,3.292825,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Salt,202,100.0,12.96,0.0,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,SOLIS,124,100.0,6.75,5.729168,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,SOUDIOM Bicarbon,35,100.0,8.955,9.982635,Production Recipes,1,
